login,link,followers,following,follow_ratio,public_repos,contributions,stars,total_size,user_feedback
turjoseu,https://github.com/turjoseu,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
aheissenberger,https://github.com/aheissenberger,30.0,7.0,4.285714285714286,162.0,309.0,10.0,112769.0,0
esaltelli,https://github.com/esaltelli,3.0,0.0,0.0,1.0,0.0,0.0,487938.0,0
blendeguz,https://github.com/blendeguz,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
joonjoon,https://github.com/joonjoon,3.0,0.0,0.0,1.0,0.0,1.0,48.0,0
kosmology,https://github.com/kosmology,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
hinjk,https://github.com/hinjk,3.0,0.0,0.0,1.0,0.0,0.0,56.0,0
kontextbewusst,https://github.com/kontextbewusst,6.0,1.0,6.0,9.0,0.0,1.0,196459.0,0
miagi,https://github.com/miagi,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
molinard,https://github.com/molinard,3.0,0.0,0.0,7.0,0.0,0.0,37650.0,0
BeresD,https://github.com/BeresD,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ChungMasterFlex,https://github.com/ChungMasterFlex,4.0,11.0,0.3636363636363636,9.0,0.0,4.0,418530.0,0
berowar,https://github.com/berowar,30.0,66.0,0.4545454545454545,6.0,284.0,2.0,2641.0,0
martinpitt,https://github.com/martinpitt,178.0,0.0,0.0,34.0,5294.0,342.0,979548.0,0
gunasekhar,https://github.com/gunasekhar,3.0,0.0,0.0,1.0,0.0,1.0,48.0,0
ndreas,https://github.com/ndreas,14.0,4.0,3.5,27.0,1727.0,6.0,1421039.0,0
sebastianroming,https://github.com/sebastianroming,88.0,203.0,0.4334975369458128,128.0,551.0,13.0,481581.0,0
rtwelfareclub,https://github.com/rtwelfareclub,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
kkaraujo,https://github.com/kkaraujo,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
eliagregorio,https://github.com/eliagregorio,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cr8vhimanshu,https://github.com/cr8vhimanshu,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0
doctorpartlow,https://github.com/doctorpartlow,9.0,6.0,1.5,5.0,6.0,52.0,130341.0,0
PhilipTransfeld,https://github.com/PhilipTransfeld,3.0,0.0,0.0,1.0,0.0,1.0,48.0,0
kfbishop,https://github.com/kfbishop,22.0,8.0,2.75,6.0,0.0,10.0,22233.0,0
projectone,https://github.com/projectone,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
x-sangeeth,https://github.com/x-sangeeth,4.0,1.0,4.0,24.0,0.0,0.0,5197720.0,0
shinwachi,https://github.com/shinwachi,4.0,2.0,2.0,29.0,0.0,9.0,222138.0,0
jarpiain,https://github.com/jarpiain,3.0,0.0,0.0,2.0,0.0,27.0,1260.0,0
steveruckdashel,https://github.com/steveruckdashel,7.0,5.0,1.4,60.0,8.0,1.0,1134727.0,0
lubyou,https://github.com/lubyou,3.0,2.0,1.5,15.0,2.0,0.0,316015.0,0
